"hot_word","hot_word_num"
"陈小纭 讨论抨击我都接受","3121304"
"多名证人称弗洛伊德在案发现场已死亡","1961665"
"李宇春口红色号","1799521"
"清明假期全国天气预报地图","1421183"
"国际泳联取消跳水世界杯","935970"
"十年一品温如言选角","913586"
"等等让孙俪去医院看看头脑","798585"
"林依轮两个儿子同台走秀","717030"
"华春莹请BBC记者向同事转达一句话","709439"
"蒋勤勤 建斌诗集随手一翻好多错字","705058"
"变形计尚成苍爷爷去世","552202"
"台铁列车脱轨事故已35人无生命迹象","501555"
"教育部明确3个重要时间保睡眠","453404"
"台铁脱轨列车司机确认殉职","410010"
"那英容祖儿陈梓童 达尔文","400560"
"男子微信群聊中辱骂烈士被刑拘","373641"
"刘涛 我不端水我举缸","373243"
"周笔畅被杨钰莹杨丞琳亲","368730"
"深圳茶颜悦色","366126"
"马来西亚外长用中文称呼王毅大哥","359511"
"追星星的人官宣","357116"
"辽宁 天津","353625"
"汪东城 希望我明年是真的公开了","351165"
"自闭症早期五不行为","344929"
"向往的生活中国风概念海报","341513"
"我的姐姐","340626"
"南京禄口机场候机厅浓烟弥漫","319960"
"新疆问题教材使用长达13年","300555"
"中棉协邀请国外行业协会赴新疆调研","274933"
"台铁列车脱轨幸存乘客发声","274671"
"王者荣耀艾琳重塑","263663"
"刘芸把起飞时间记成了起床时间","261850"
"创造营预告","258204"
"华春莹要求日方停止搬弄是非","256352"
"虞书欣为赵小棠庆生","255816"
"papi酱新电影台词","251890"
"那英组达尔文全季最高分","249599"
"长歌行","238966"
"窥探","236919"
"恰好是少年发布会","228217"
"LPL春决落地武汉","226360"
"清明假期出游人次将达1亿","226321"
"刘昊然王俊凯董子健合唱对比","226301"
"马来西亚外长中文说我们都是一家人","219544"
"台铁列车脱轨","214273"
"ATM机一年减少8万台","174716"
"董明珠三十年没休过假","173335"
"我国每68名孩子中约有1名患自闭症","171915"
"极端分子脑中的天堂什么样","170279"
"张柏芝粤语独白","169689"
